ax,ay,az,agx,agy,agz,gx,gy,gz,roll,pitch,yaw
0.00720,0.06515,-0.26761,0.75879,-5.75991,-7.90051,-0.02241,-0.16090,0.15138,0.09575,0.62778,-0.32909
-0.19094,0.07880,-0.30008,0.74086,-5.76040,-7.90186,0.01048,-0.10381,0.11652,0.09348,0.62784,-0.32748
-0.14486,0.03143,-0.28556,0.72770,-5.76330,-7.90097,0.04253,-0.06524,0.11112,0.09184,0.62820,-0.32611
0.09764,0.08713,-0.20376,0.71684,-5.76843,-7.89821,0.06580,-0.04526,0.11675,0.09051,0.62885,-0.32476
0.11778,0.03763,-0.15179,0.70703,-5.77489,-7.89438,0.07711,-0.03292,0.11367,0.08932,0.62967,-0.32342
0.08582,-0.06175,-0.08026,0.69724,-5.78160,-7.89033,0.07082,-0.04403,0.12691,0.08814,0.63051,-0.32202
0.11767,-0.09497,-0.02080,0.68454,-5.78774,-7.88695,0.06191,-0.08728,0.13848,0.08658,0.63129,-0.32046
0.06213,-0.11592,-0.03992,0.66855,-5.79342,-7.88414,0.05714,-0.11211,0.14331,0.08459,0.63201,-0.31880
0.02457,-0.12227,-0.07574,0.65119,-5.79874,-7.88168,0.04988,-0.10895,0.14983,0.08243,0.63268,-0.31703
-0.00054,-0.10179,-0.05096,0.63456,-5.80351,-7.87953,0.04366,-0.08700,0.15771,0.08036,0.63328,-0.31518
0.04879,-0.06625,-0.08635,0.61845,-5.80778,-7.87767,0.04061,-0.08534,0.16747,0.07835,0.63382,-0.31319
0.03567,-0.06974,-0.13633,0.60089,-5.81267,-7.87542,0.05896,-0.11316,0.16773,0.07615,0.63444,-0.31115
-0.05151,-0.11104,-0.19718,0.58183,-5.81880,-7.87232,0.07128,-0.12973,0.15373,0.07377,0.63522,-0.30921
-0.12929,-0.11837,-0.19076,0.56280,-5.82494,-7.86917,0.06003,-0.13597,0.13960,0.07140,0.63599,-0.30746
-0.10984,-0.16048,-0.10954,0.54379,-5.82921,-7.86734,0.02962,-0.13870,0.13284,0.06901,0.63654,-0.30581
-0.08943,-0.18248,-0.08174,0.52577,-5.83130,-7.86701,0.00686,-0.12822,0.12616,0.06673,0.63680,-0.30423
0.01684,-0.17200,-0.10728,0.50794,-5.83162,-7.86795,-0.01451,-0.13995,0.13673,0.06447,0.63684,-0.30261
0.17261,-0.13337,-0.06651,0.48639,-5.83073,-7.86997,-0.02486,-0.18426,0.16519,0.06172,0.63673,-0.30073
0.26265,-0.08303,-0.06926,0.46010,-5.82930,-7.87261,-0.02690,-0.22297,0.18638,0.05838,0.63655,-0.29852
0.21971,-0.09073,-0.08656,0.43002,-5.82789,-7.87536,-0.03074,-0.24673,0.20839,0.05455,0.63637,-0.29605
0.14884,-0.06454,-0.02402,0.39763,-5.82534,-7.87894,-0.05729,-0.26812,0.20568,0.05043,0.63605,-0.29345
0.07412,-0.06259,0.05788,0.36447,-5.82056,-7.88407,-0.08205,-0.26850,0.20706,0.04620,0.63544,-0.29085
0.05155,-0.05911,0.04014,0.33167,-5.81431,-7.89013,-0.09019,-0.26103,0.20498,0.04201,0.63465,-0.28827
0.07737,-0.02112,0.03430,0.29912,-5.80816,-7.89596,-0.08262,-0.26222,0.20883,0.03786,0.63387,-0.28568
0.09766,0.00621,0.01343,0.26641,-5.80272,-7.90113,-0.07072,-0.25752,0.21342,0.03371,0.63318,-0.28303
0.07274,0.02610,0.00878,0.23402,-5.79822,-7.90546,-0.05701,-0.25000,0.21147,0.02959,0.63261,-0.28037
0.00940,0.03854,0.01171,0.20249,-5.79480,-7.90884,-0.04192,-0.24083,0.20983,0.02560,0.63218,-0.27775
-0.04436,0.04541,0.02848,0.17275,-5.79269,-7.91109,-0.02025,-0.21354,0.19009,0.02183,0.63191,-0.27524
-0.18563,0.01556,-0.00459,0.14732,-5.79217,-7.91198,-0.00061,-0.16830,0.16495,0.01862,0.63185,-0.27305
-0.19629,-0.03611,-0.05237,0.12671,-5.79332,-7.91149,0.02466,-0.12731,0.14916,0.01601,0.63199,-0.27113
-0.07425,-0.08697,-0.07076,0.10881,-5.79633,-7.90956,0.04979,-0.11476,0.15202,0.01376,0.63237,-0.26931
0.08126,-0.08551,-0.10286,0.08978,-5.80124,-7.90620,0.07445,-0.14001,0.16833,0.01135,0.63299,-0.26734
0.15068,-0.05618,-0.08516,0.06615,-5.80782,-7.90160,0.08918,-0.19396,0.18929,0.00837,0.63383,-0.26513
0.18989,0.00908,0.00998,0.03786,-5.81502,-7.89648,0.08917,-0.21915,0.21243,0.00479,0.63474,-0.26264
0.15714,0.10026,0.14016,0.00761,-5.82165,-7.89169,0.07575,-0.22180,0.22215,0.00096,0.63558,-0.25992
-0.01844,0.18625,0.26835,-0.02256,-5.82654,-7.88805,0.04651,-0.21826,0.21554,-0.00286,0.63620,-0.25720
-0.14569,0.27437,0.40869,-0.05123,-5.82862,-7.88638,0.01166,-0.19735,0.19903,-0.00650,0.63646,-0.25462
-0.20817,0.31459,0.39908,-0.07644,-5.82859,-7.88620,-0.00875,-0.16500,0.17769,-0.00969,0.63646,-0.25228
-0.22901,0.33349,0.33662,-0.09840,-5.82713,-7.88703,-0.02075,-0.14988,0.16068,-0.01248,0.63627,-0.25021
-0.19441,0.38407,0.27828,-0.11908,-5.82550,-7.88795,-0.01477,-0.15121,0.14775,-0.01509,0.63607,-0.24832
-0.10461,0.36331,0.22135,-0.13960,-5.82493,-7.88803,0.00531,-0.15710,0.14705,-0.01770,0.63599,-0.24651
-0.08128,0.32833,0.23237,-0.16113,-5.82587,-7.88693,0.01823,-0.16753,0.14521,-0.02043,0.63611,-0.24467
-0.13691,0.31230,0.28863,-0.18182,-5.82749,-7.88528,0.02773,-0.14255,0.13804,-0.02305,0.63632,-0.24289
-0.20674,0.24658,0.28933,-0.19788,-5.82986,-7.88314,0.04086,-0.07724,0.11316,-0.02510,0.63662,-0.24131
-0.28049,0.15445,0.21666,-0.20762,-5.83349,-7.88020,0.05707,-0.02519,0.08990,-0.02634,0.63708,-0.24003
-0.20505,0.12276,0.20739,-0.21378,-5.83892,-7.87602,0.08258,-0.01382,0.07855,-0.02714,0.63777,-0.23895
-0.14305,0.07967,0.23215,-0.21997,-5.84566,-7.87085,0.09108,-0.03614,0.07273,-0.02794,0.63862,-0.23801
-0.02090,0.05056,0.28386,-0.22854,-5.85246,-7.86555,0.08705,-0.06240,0.08309,-0.02905,0.63949,-0.23703
0.06415,0.02805,0.33444,-0.23877,-5.85868,-7.86061,0.07712,-0.06649,0.09027,-0.03037,0.64028,-0.23591
-0.02652,-0.02142,0.35568,-0.24911,-5.86368,-7.85657,0.05208,-0.06179,0.08836,-0.03170,0.64091,-0.23476
-0.11593,-0.01550,0.39703,-0.25861,-5.86661,-7.85407,0.02434,-0.04653,0.08369,-0.03292,0.64129,-0.23366
-0.17442,-0.00042,0.40184,-0.26552,-5.86748,-7.85319,0.00460,-0.01159,0.07081,-0.03380,0.64140,-0.23269
-0.16963,-0.01048,0.32602,-0.26941,-5.86684,-7.85353,-0.01580,0.01896,0.07122,-0.03429,0.64132,-0.23182
-0.07697,-0.03141,0.28275,-0.27168,-5.86536,-7.85456,-0.01826,0.02775,0.07466,-0.03458,0.64113,-0.23093
-0.00727,-0.05409,0.19712,-0.27435,-5.86348,-7.85587,-0.02406,0.01532,0.07966,-0.03491,0.64089,-0.22999
0.08440,-0.07530,0.13935,-0.27892,-5.86127,-7.85736,-0.02647,-0.00023,0.09734,-0.03548,0.64061,-0.22889
0.15506,-0.06122,0.07253,-0.28584,-5.85904,-7.85877,-0.02208,-0.01804,0.11109,-0.03636,0.64032,-0.22760
0.10551,-0.06791,0.03847,-0.29525,-5.85729,-7.85973,-0.01216,-0.04416,0.11930,-0.03755,0.64010,-0.22616
0.03453,-0.02660,0.00847,-0.30567,-5.85625,-7.86011,-0.00309,-0.04154,0.11745,-0.03887,0.63997,-0.22469
-0.11450,0.01229,-0.01936,-0.31541,-5.85594,-7.85996,0.00171,-0.03947,0.10129,-0.04011,0.63993,-0.22331
-0.20762,0.07562,0.04879,-0.32419,-5.85537,-7.86002,-0.00884,-0.04572,0.08790,-0.04122,0.63986,-0.22215
-0.23425,0.12919,0.12999,-0.33243,-5.85358,-7.86101,-0.02520,-0.04149,0.07631,-0.04226,0.63963,-0.22115
-0.24023,0.17768,0.13591,-0.33961,-5.85104,-7.86259,-0.03077,-0.04137,0.06063,-0.04317,0.63931,-0.22031
-0.30365,0.21397,0.13831,-0.34638,-5.84842,-7.86424,-0.03131,-0.04776,0.04791,-0.04402,0.63898,-0.21963
-0.37381,0.28700,0.17575,-0.35268,-5.84559,-7.86607,-0.03561,-0.05658,0.02486,-0.04481,0.63862,-0.21919
-0.49219,0.35158,0.21937,-0.35805,-5.84254,-7.86810,-0.04303,-0.05973,-0.00510,-0.04548,0.63823,-0.21909
-0.60219,0.42258,0.23183,-0.36043,-5.83931,-7.87038,-0.04139,-0.04079,-0.04843,-0.04576,0.63782,-0.21943
-0.77269,0.47251,0.20540,-0.35872,-5.83672,-7.87238,-0.03179,-0.02295,-0.10192,-0.04554,0.63749,-0.22036
-0.90825,0.55945,0.20624,-0.35230,-5.83477,-7.87412,-0.03243,-0.00372,-0.15782,-0.04471,0.63724,-0.22199
-0.92319,0.61393,0.23249,-0.33975,-5.83180,-7.87687,-0.06878,0.05366,-0.22661,-0.04311,0.63686,-0.22438
1.78724,0.34129,0.50707,-0.35356,-5.82207,-7.88346,-0.14044,-0.26766,0.33158,-0.04482,0.63563,-0.22269
3.70468,-1.72224,0.47880,-0.38512,-5.81396,-7.88796,-0.05827,-0.24096,0.09501,-0.04878,0.63460,-0.22071
-0.90971,-0.13956,-0.29432,-0.41623,-5.80809,-7.89070,-0.08254,-0.29846,0.18938,-0.05270,0.63386,-0.21863
0.66554,0.32800,0.57546,-0.44917,-5.79920,-7.89544,-0.12494,-0.31227,0.07588,-0.05683,0.63274,-0.21704
-1.22276,0.10051,0.06328,-0.46635,-5.78883,-7.90205,-0.13142,-0.07427,-0.01734,-0.05895,0.63143,-0.21677
-1.15415,0.23210,-0.25527,-0.46269,-5.77886,-7.90955,-0.12675,0.07982,-0.07618,-0.05843,0.63017,-0.21750
-0.63481,0.20524,-0.31192,-0.44766,-5.77011,-7.91680,-0.09841,0.18085,-0.08443,-0.05649,0.62906,-0.21857
